CFN;Descripcion_Producto;QtyDisponible;forecasttotal;demand;QtyBloqued;QtyQI;QtyRestricted;UOM;Sloc;forecast
4770;MONO CAB 04770 MC07 LAPARO 3M WEM-PG 4MM;1;;;0;0;0;EA;4000;
4770;MONO CAB 04770 MC07 LAPARO 3M WEM-PG 4MM;10;;;0;0;0;EA;4000;
4777;TRANSPORT UNIT 04777 TU28 SS200E-HF120;1;;;0;0;0;EA;4000;
4777;TRANSPORT UNIT 04777 TU28 SS200E-HF120;1;;;0;0;0;EA;4000;
4777;TRANSPORT UNIT 04777 TU28 SS200E-HF120;10;;;0;0;0;EA;4000;
4777;TRANSPORT UNIT 04777 TU28 SS200E-HF120;23;;;0;0;0;EA;4000;
4777;TRANSPORT UNIT 04777 TU28 SS200E-HF120;6;;;0;0;0;EA;4000;
4818;TRANSPORT UNIT 04818 TU30 ARGON 4;2;;;0;0;0;EA;4020;
4818;TRANSPORT UNIT 04818 TU30 ARGON 4;4;;;0;0;0;EA;4020;
4818;TRANSPORT UNIT 04818 TU30 ARGON 4;9;;;0;0;0;EA;4020;
4818;TRANSPORT UNIT 04818 TU30 ARGON 4;9;;;0;0;0;EA;4020;
4818;TRANSPORT UNIT 04818 TU30 ARGON 4;1;;;0;0;0;EA;1000;
4821;Adaptor 04821 INTL RF POWER GEN ADT IUS;21;;;0;0;0;EA;4001;
4864;PATIENT PLATE 04864 PP06 S.STELL 8X12CM;7;;;0;0;0;EA;4000;
4864;PATIENT PLATE 04864 PP06 S.STELL 8X12CM;7;;;0;0;0;EA;4000;
4864;PATIENT PLATE 04864 PP06 S.STELL 8X12CM;30;;;0;0;0;EA;4000;
4936;CONNECTION HOSE 04936 ARG4 BRA-US 280MM;3;;;0;0;0;EA;4000;
4936;CONNECTION HOSE 04936 ARG4 BRA-US 280MM;1;;;0;0;0;EA;4000;
49798;049798 US POWER CORD X9Y MONITORS X1;1;;;0;0;0;EA;4000;
49798;049798 US POWER CORD X9Y MONITORS X1;1;;;0;0;0;EA;4200;
49798;049798 US POWER CORD X9Y MONITORS X1;3;;;0;0;0;EA;40A0;
49798;049798 US POWER CORD X9Y MONITORS X1;4;;;0;0;0;EA;40A0;
49798;049798 US POWER CORD X9Y MONITORS X1;20;;;0;0;0;EA;1005;
49798;049798 US POWER CORD X9Y MONITORS X1;82;;;0;0;0;EA;4000;
05-0760LED;05-0760LED LIGHT SOURCE;1;;;0;0;0;EA;4000;
05-0760LED;05-0760LED LIGHT SOURCE;1;;;0;0;0;EA;4000;
05.0087L;LIGHT CABLE 05.0087L 4.8 3000MM AUTOCLAV;1;;;0;0;0;EA;4000;
05.0087L;LIGHT CABLE 05.0087L 4.8 3000MM AUTOCLAV;1;;;0;0;0;EA;4000;
05.0087L;LIGHT CABLE 05.0087L 4.8 3000MM AUTOCLAV;1;;;0;0;0;EA;4000;
05.0087L;LIGHT CABLE 05.0087L 4.8 3000MM AUTOCLAV;1;;;0;0;0;EA;4000;
05.0087L;LIGHT CABLE 05.0087L 4.8 3000MM AUTOCLAV;1;;;0;0;0;EA;4000;
05.0087L;LIGHT CABLE 05.0087L 4.8 3000MM AUTOCLAV;1;;;0;0;0;EA;4000;
05.0087L;LIGHT CABLE 05.0087L 4.8 3000MM AUTOCLAV;1;;;0;0;0;EA;4000;
